name,fte,location,deadline,link
Research technician,Full time,Max Planck Institute for Psycholinguistics,30/03/2022,https://www.mpi.nl/career-education/vacancies/vacancy/research-technician-cognitive-neuroscience-language
Postdoctoral researcher,Full time,Max Planck Institute for Psycholinguistics,30/03/2022,https://www.mpi.nl/career-education/vacancies/vacancy/postdoctoral-position-cognitive-neuroscience-language
